time_point,hour,Temp,Phage,order,Biol rep,Batch,OD
T0,0,37,PEV2,1,1,1,0.017833333
T0,0,37,LUZ19,2,1,1,0.017833333
T0,0,37,14_1,3,1,1,0.017833333
T0,0,37,PEV2_LUZ19,4,1,1,0.017833333
T0,0,37,PEV2_14-1,5,1,1,0.017833333
T0,0,37,LUZ19_14-1,6,1,1,0.017833333
T0,0,37,3-phage_cocktail,7,1,1,0.017833333
T0,0,37,No_phage,8,1,1,0.017833333
T0,0,40,PEV2,1,1,1,0.015166667
T0,0,40,LUZ19,2,1,1,0.015166667
T0,0,40,14_1,3,1,1,0.015166667
T0,0,40,PEV2_LUZ19,4,1,1,0.015166667
T0,0,40,PEV2_14-1,5,1,1,0.015166667
T0,0,40,LUZ19_14-1,6,1,1,0.015166667
T0,0,40,3-phage_cocktail,7,1,1,0.015166667
T0,0,40,No_phage,8,1,1,0.015166667
T0,0,42,PEV2,1,1,1,0.0165
T0,0,42,LUZ19,2,1,1,0.0165
T0,0,42,14_1,3,1,1,0.0165
T0,0,42,PEV2_LUZ19,4,1,1,0.0165
T0,0,42,PEV2_14-1,5,1,1,0.0165
T0,0,42,LUZ19_14-1,6,1,1,0.0165
T0,0,42,3-phage_cocktail,7,1,1,0.0165
T0,0,42,No_phage,8,1,1,0.0165
T1,1,37,PEV2,1,1,1,0.021
T1,1,37,PEV2,1,2,1,0.02
T1,1,37,LUZ19,2,1,1,0.018666667
T1,1,37,LUZ19,2,2,1,0.019333333
T1,1,37,14_1,3,1,1,0.020333333
T1,1,37,14_1,3,2,1,0.018333333
T1,1,37,PEV2_LUZ19,4,1,1,0.020333333
T1,1,37,PEV2_LUZ19,4,2,1,0.020666667
T1,1,37,PEV2_14-1,5,1,1,0.022333333
T1,1,37,PEV2_14-1,5,2,1,0.02
T1,1,37,LUZ19_14-1,6,1,1,0.020666667
T1,1,37,LUZ19_14-1,6,2,1,0.021
T1,1,37,3-phage_cocktail,7,1,1,0.024333333
T1,1,37,3-phage_cocktail,7,2,1,0.022
T1,1,37,No_phage,8,1,1,0.017333333
T1,1,37,No_phage,8,2,1,0.021
T1,1,40,PEV2,1,1,1,0.030333333
T1,1,40,PEV2,1,2,1,0.026333333
T1,1,40,LUZ19,2,1,1,0.027666667
T1,1,40,LUZ19,2,2,1,0.025333333
T1,1,40,14_1,3,1,1,0.031333333
T1,1,40,14_1,3,2,1,0.026333333
T1,1,40,PEV2_LUZ19,4,1,1,0.026333333
T1,1,40,PEV2_LUZ19,4,2,1,0.025666667
T1,1,40,PEV2_14-1,5,1,1,0.028333333
T1,1,40,PEV2_14-1,5,2,1,0.028333333
T1,1,40,LUZ19_14-1,6,1,1,0.029
T1,1,40,LUZ19_14-1,6,2,1,0.027
T1,1,40,3-phage_cocktail,7,1,1,0.03
T1,1,40,3-phage_cocktail,7,2,1,0.026666667
T1,1,40,No_phage,8,1,1,0.027666667
T1,1,40,No_phage,8,2,1,0.027333333
T1,1,42,PEV2,1,1,1,0.033666667
T1,1,42,PEV2,1,2,1,0.031333333
T1,1,42,LUZ19,2,1,1,0.031666667
T1,1,42,LUZ19,2,2,1,0.029333333
T1,1,42,14_1,3,1,1,0.031666667
T1,1,42,14_1,3,2,1,0.032
T1,1,42,PEV2_LUZ19,4,1,1,0.031333333
T1,1,42,PEV2_LUZ19,4,2,1,0.031666667
T1,1,42,PEV2_14-1,5,1,1,0.032666667
T1,1,42,PEV2_14-1,5,2,1,0.031333333
T1,1,42,LUZ19_14-1,6,1,1,0.031333333
T1,1,42,LUZ19_14-1,6,2,1,0.029666667
T1,1,42,3-phage_cocktail,7,1,1,0.034
T1,1,42,3-phage_cocktail,7,2,1,0.030333333
T1,1,42,No_phage,8,1,1,0.031666667
T1,1,42,No_phage,8,2,1,0.031333333
T2,2,37,PEV2,1,1,1,0.028666667
T2,2,37,PEV2,1,2,1,0.025666667
T2,2,37,LUZ19,2,1,1,0.029
T2,2,37,LUZ19,2,2,1,0.027
T2,2,37,14_1,3,1,1,0.035
T2,2,37,14_1,3,2,1,0.033333333
T2,2,37,PEV2_LUZ19,4,1,1,0.026666667
T2,2,37,PEV2_LUZ19,4,2,1,0.027666667
T2,2,37,PEV2_14-1,5,1,1,0.03
T2,2,37,PEV2_14-1,5,2,1,0.026
T2,2,37,LUZ19_14-1,6,1,1,0.029333333
T2,2,37,LUZ19_14-1,6,2,1,0.028666667
T2,2,37,3-phage_cocktail,7,1,1,0.031666667
T2,2,37,3-phage_cocktail,7,2,1,0.028333333
T2,2,37,No_phage,8,1,1,0.031333333
T2,2,37,No_phage,8,2,1,0.035666667
T2,2,40,PEV2,1,1,1,0.046
T2,2,40,PEV2,1,2,1,0.04
T2,2,40,LUZ19,2,1,1,0.036
T2,2,40,LUZ19,2,2,1,0.034666667
T2,2,40,14_1,3,1,1,0.051666667
T2,2,40,14_1,3,2,1,0.040333333
T2,2,40,PEV2_LUZ19,4,1,1,0.034333333
T2,2,40,PEV2_LUZ19,4,2,1,0.035333333
T2,2,40,PEV2_14-1,5,1,1,0.044333333
T2,2,40,PEV2_14-1,5,2,1,0.040333333
T2,2,40,LUZ19_14-1,6,1,1,0.036333333
T2,2,40,LUZ19_14-1,6,2,1,0.032333333
T2,2,40,3-phage_cocktail,7,1,1,0.046
T2,2,40,3-phage_cocktail,7,2,1,0.033666667
T2,2,40,No_phage,8,1,1,0.047666667
T2,2,40,No_phage,8,2,1,0.045666667
T2,2,42,PEV2,1,1,1,0.049
T2,2,42,PEV2,1,2,1,0.046
T2,2,42,LUZ19,2,1,1,0.037666667
T2,2,42,LUZ19,2,2,1,0.036333333
T2,2,42,14_1,3,1,1,0.049333333
T2,2,42,14_1,3,2,1,0.045333333
T2,2,42,PEV2_LUZ19,4,1,1,0.038333333
T2,2,42,PEV2_LUZ19,4,2,1,0.039
T2,2,42,PEV2_14-1,5,1,1,0.049666667
T2,2,42,PEV2_14-1,5,2,1,0.045333333
T2,2,42,LUZ19_14-1,6,1,1,0.039333333
T2,2,42,LUZ19_14-1,6,2,1,0.039666667
T2,2,42,3-phage_cocktail,7,1,1,0.042333333
T2,2,42,3-phage_cocktail,7,2,1,0.037666667
T2,2,42,No_phage,8,1,1,0.043333333
T2,2,42,No_phage,8,2,1,0.045666667
T3,3,37,PEV2,1,1,1,0.030666667
T3,3,37,PEV2,1,2,1,0.026666667
T3,3,37,LUZ19,2,1,1,0.034333333
T3,3,37,LUZ19,2,2,1,0.035666667
T3,3,37,14_1,3,1,1,0.050333333
T3,3,37,14_1,3,2,1,0.050333333
T3,3,37,PEV2_LUZ19,4,1,1,0.020333333
T3,3,37,PEV2_LUZ19,4,2,1,0.022
T3,3,37,PEV2_14-1,5,1,1,0.03
T3,3,37,PEV2_14-1,5,2,1,0.028
T3,3,37,LUZ19_14-1,6,1,1,0.031333333
T3,3,37,LUZ19_14-1,6,2,1,0.029333333
T3,3,37,3-phage_cocktail,7,1,1,0.021
T3,3,37,3-phage_cocktail,7,2,1,0.020333333
T3,3,37,No_phage,8,1,1,0.060666667
T3,3,37,No_phage,8,2,1,0.073
T3,3,40,PEV2,1,1,1,0.045
T3,3,40,PEV2,1,2,1,0.039
T3,3,40,LUZ19,2,1,1,0.038
T3,3,40,LUZ19,2,2,1,0.035666667
T3,3,40,14_1,3,1,1,0.046
T3,3,40,14_1,3,2,1,0.038333333
T3,3,40,PEV2_LUZ19,4,1,1,0.024
T3,3,40,PEV2_LUZ19,4,2,1,0.024666667
T3,3,40,PEV2_14-1,5,1,1,0.042
T3,3,40,PEV2_14-1,5,2,1,0.04
T3,3,40,LUZ19_14-1,6,1,1,0.020333333
T3,3,40,LUZ19_14-1,6,2,1,0.019333333
T3,3,40,3-phage_cocktail,7,1,1,0.0225
T3,3,40,3-phage_cocktail,7,2,1,0.024
T3,3,40,No_phage,8,1,1,0.083
T3,3,40,No_phage,8,2,1,0.082333333
T3,3,42,PEV2,1,1,1,0.074666667
T3,3,42,PEV2,1,2,1,0.071
T3,3,42,LUZ19,2,1,1,0.031
T3,3,42,LUZ19,2,2,1,0.032
T3,3,42,14_1,3,1,1,0.066333333
T3,3,42,14_1,3,2,1,0.068666667
T3,3,42,PEV2_LUZ19,4,1,1,0.034
T3,3,42,PEV2_LUZ19,4,2,1,0.037333333
T3,3,42,PEV2_14-1,5,1,1,0.074333333
T3,3,42,PEV2_14-1,5,2,1,0.068333333
T3,3,42,LUZ19_14-1,6,1,1,0.036666667
T3,3,42,LUZ19_14-1,6,2,1,0.032333333
T3,3,42,3-phage_cocktail,7,1,1,0.030666667
T3,3,42,3-phage_cocktail,7,2,1,0.032666667
T3,3,42,No_phage,8,1,1,0.07
T3,3,42,No_phage,8,2,1,0.071333333
T4,4,37,PEV2,1,1,1,0.026
T4,4,37,PEV2,1,2,1,0.022
T4,4,37,LUZ19,2,1,1,0.039666667
T4,4,37,LUZ19,2,2,1,0.036
T4,4,37,14_1,3,1,1,0.048
T4,4,37,14_1,3,2,1,0.045666667
T4,4,37,PEV2_LUZ19,4,1,1,0.017666667
T4,4,37,PEV2_LUZ19,4,2,1,0.019
T4,4,37,PEV2_14-1,5,1,1,0.027333333
T4,4,37,PEV2_14-1,5,2,1,0.025666667
T4,4,37,LUZ19_14-1,6,1,1,0.018333333
T4,4,37,LUZ19_14-1,6,2,1,0.017666667
T4,4,37,3-phage_cocktail,7,1,1,0.020666667
T4,4,37,3-phage_cocktail,7,2,1,0.018333333
T4,4,37,No_phage,8,1,1,0.118666667
T4,4,37,No_phage,8,2,1,0.109333333
T4,4,40,PEV2,1,1,1,0.028
T4,4,40,PEV2,1,2,1,0.032333333
T4,4,40,LUZ19,2,1,1,0.029333333
T4,4,40,LUZ19,2,2,1,0.04
T4,4,40,14_1,3,1,1,0.059
T4,4,40,14_1,3,2,1,0.04
T4,4,40,PEV2_LUZ19,4,1,1,0.009666667
T4,4,40,PEV2_LUZ19,4,2,1,0.009333333
T4,4,40,PEV2_14-1,5,1,1,0.025
T4,4,40,PEV2_14-1,5,2,1,0.027333333
T4,4,40,LUZ19_14-1,6,1,1,0.017
T4,4,40,LUZ19_14-1,6,2,1,0.008333333
T4,4,40,3-phage_cocktail,7,1,1,0.024
T4,4,40,3-phage_cocktail,7,2,1,0.009
T4,4,40,No_phage,8,1,1,0.107333333
T4,4,40,No_phage,8,2,1,0.111666667
T4,4,42,PEV2,1,1,1,0.123666667
T4,4,42,PEV2,1,2,1,0.118666667
T4,4,42,LUZ19,2,1,1,0.023333333
T4,4,42,LUZ19,2,2,1,0.018666667
T4,4,42,14_1,3,1,1,0.115333333
T4,4,42,14_1,3,2,1,0.122666667
T4,4,42,PEV2_LUZ19,4,1,1,0.023666667
T4,4,42,PEV2_LUZ19,4,2,1,0.019666667
T4,4,42,PEV2_14-1,5,1,1,0.123333333
T4,4,42,PEV2_14-1,5,2,1,0.111
T4,4,42,LUZ19_14-1,6,1,1,0.016333333
T4,4,42,LUZ19_14-1,6,2,1,0.015333333
T4,4,42,3-phage_cocktail,7,1,1,0.021333333
T4,4,42,3-phage_cocktail,7,2,1,0.019666667
T4,4,42,No_phage,8,1,1,0.138
T4,4,42,No_phage,8,2,1,0.122666667
T5,5,37,PEV2,1,1,1,0.015666667
T5,5,37,PEV2,1,2,1,0.018
T5,5,37,LUZ19,2,1,1,0.039666667
T5,5,37,LUZ19,2,2,1,0.045666667
T5,5,37,14_1,3,1,1,0.050666667
T5,5,37,14_1,3,2,1,0.047333333
T5,5,37,PEV2_LUZ19,4,1,1,0.007666667
T5,5,37,PEV2_LUZ19,4,2,1,0.008666667
T5,5,37,PEV2_14-1,5,1,1,0.018666667
T5,5,37,PEV2_14-1,5,2,1,0.016
T5,5,37,LUZ19_14-1,6,1,1,0.021333333
T5,5,37,LUZ19_14-1,6,2,1,0.009
T5,5,37,3-phage_cocktail,7,1,1,0.012666667
T5,5,37,3-phage_cocktail,7,2,1,0.009666667
T5,5,37,No_phage,8,1,1,0.152
T5,5,37,No_phage,8,2,1,0.177333333
T5,5,40,PEV2,1,1,1,0.022666667
T5,5,40,PEV2,1,2,1,0.020333333
T5,5,40,LUZ19,2,1,1,0.025
T5,5,40,LUZ19,2,2,1,0.028666667
T5,5,40,14_1,3,1,1,0.057666667
T5,5,40,14_1,3,2,1,0.040666667
T5,5,40,PEV2_LUZ19,4,1,1,0.008
T5,5,40,PEV2_LUZ19,4,2,1,0.008
T5,5,40,PEV2_14-1,5,1,1,0.013
T5,5,40,PEV2_14-1,5,2,1,0.015333333
T5,5,40,LUZ19_14-1,6,1,1,0.005333333
T5,5,40,LUZ19_14-1,6,2,1,0.004666667
T5,5,40,3-phage_cocktail,7,1,1,0.019666667
T5,5,40,3-phage_cocktail,7,2,1,0.006666667
T5,5,40,No_phage,8,1,1,0.174666667
T5,5,40,No_phage,8,2,1,0.168
T5,5,42,PEV2,1,1,1,0.202
T5,5,42,PEV2,1,2,1,0.223666667
T5,5,42,LUZ19,2,1,1,0.014
T5,5,42,LUZ19,2,2,1,0.013666667
T5,5,42,14_1,3,1,1,0.192333333
T5,5,42,14_1,3,2,1,0.186666667
T5,5,42,PEV2_LUZ19,4,1,1,0.013666667
T5,5,42,PEV2_LUZ19,4,2,1,0.015333333
T5,5,42,PEV2_14-1,5,1,1,0.247666667
T5,5,42,PEV2_14-1,5,2,1,0.179666667
T5,5,42,LUZ19_14-1,6,1,1,0.010333333
T5,5,42,LUZ19_14-1,6,2,1,0.009333333
T5,5,42,3-phage_cocktail,7,1,1,0.026666667
T5,5,42,3-phage_cocktail,7,2,1,0.010666667
T5,5,42,No_phage,8,1,1,0.191666667
T5,5,42,No_phage,8,2,1,0.169333333
T0,0,37,PEV2,1,1,2,0.016
T0,0,37,LUZ19,2,1,2,0.016
T0,0,37,14_1,3,1,2,0.016
T0,0,37,PEV2_LUZ19,4,1,2,0.016
T0,0,37,PEV2_14-1,5,1,2,0.016
T0,0,37,LUZ19_14-1,6,1,2,0.016
T0,0,37,3-phage_cocktail,7,1,2,0.016
T0,0,37,No_phage,8,1,2,0.016
T0,0,40,PEV2,1,1,2,0.017666667
T0,0,40,LUZ19,2,1,2,0.017666667
T0,0,40,14_1,3,1,2,0.017666667
T0,0,40,PEV2_LUZ19,4,1,2,0.017666667
T0,0,40,PEV2_14-1,5,1,2,0.017666667
T0,0,40,LUZ19_14-1,6,1,2,0.017666667
T0,0,40,3-phage_cocktail,7,1,2,0.017666667
T0,0,40,No_phage,8,1,2,0.017666667
T0,0,42,PEV2,1,1,2,0.012666667
T0,0,42,LUZ19,2,1,2,0.012666667
T0,0,42,14_1,3,1,2,0.012666667
T0,0,42,PEV2_LUZ19,4,1,2,0.012666667
T0,0,42,PEV2_14-1,5,1,2,0.012666667
T0,0,42,LUZ19_14-1,6,1,2,0.012666667
T0,0,42,3-phage_cocktail,7,1,2,0.012666667
T0,0,42,No_phage,8,1,2,0.012666667
T1,1,37,PEV2,1,3,2,0.026
T1,1,37,PEV2,1,4,2,0.022
T1,1,37,LUZ19,2,3,2,0.019666667
T1,1,37,LUZ19,2,4,2,0.020666667
T1,1,37,14_1,3,3,2,0.018333333
T1,1,37,14_1,3,4,2,0.020666667
T1,1,37,PEV2_LUZ19,4,3,2,0.022666667
T1,1,37,PEV2_LUZ19,4,4,2,0.021333333
T1,1,37,PEV2_14-1,5,3,2,0.022666667
T1,1,37,PEV2_14-1,5,4,2,0.020333333
T1,1,37,LUZ19_14-1,6,3,2,0.02
T1,1,37,LUZ19_14-1,6,4,2,0.018666667
T1,1,37,3-phage_cocktail,7,3,2,0.026333333
T1,1,37,3-phage_cocktail,7,4,2,0.022
T1,1,37,No_phage,8,3,2,0.02
T1,1,37,No_phage,8,4,2,0.019666667
T1,1,40,PEV2,1,3,2,0.029
T1,1,40,PEV2,1,4,2,0.027333333
T1,1,40,LUZ19,2,3,2,0.026
T1,1,40,LUZ19,2,4,2,0.026333333
T1,1,40,14_1,3,3,2,0.029
T1,1,40,14_1,3,4,2,0.025666667
T1,1,40,PEV2_LUZ19,4,3,2,0.027
T1,1,40,PEV2_LUZ19,4,4,2,0.026333333
T1,1,40,PEV2_14-1,5,3,2,0.032
T1,1,40,PEV2_14-1,5,4,2,0.028
T1,1,40,LUZ19_14-1,6,3,2,0.028666667
T1,1,40,LUZ19_14-1,6,4,2,0.025333333
T1,1,40,3-phage_cocktail,7,3,2,0.031666667
T1,1,40,3-phage_cocktail,7,4,2,0.027
T1,1,40,No_phage,8,3,2,0.029
T1,1,40,No_phage,8,4,2,0.027
T1,1,42,PEV2,1,3,2,0.03
T1,1,42,PEV2,1,4,2,0.029
T1,1,42,LUZ19,2,3,2,0.027333333
T1,1,42,LUZ19,2,4,2,0.027333333
T1,1,42,14_1,3,3,2,0.03
T1,1,42,14_1,3,4,2,0.028666667
T1,1,42,PEV2_LUZ19,4,3,2,0.029333333
T1,1,42,PEV2_LUZ19,4,4,2,0.027333333
T1,1,42,PEV2_14-1,5,3,2,0.029333333
T1,1,42,PEV2_14-1,5,4,2,0.029
T1,1,42,LUZ19_14-1,6,3,2,0.027
T1,1,42,LUZ19_14-1,6,4,2,0.027
T1,1,42,3-phage_cocktail,7,3,2,0.031333333
T1,1,42,3-phage_cocktail,7,4,2,0.029
T1,1,42,No_phage,8,3,2,0.028333333
T1,1,42,No_phage,8,4,2,0.028
T2,2,37,PEV2,1,3,2,0.029333333
T2,2,37,PEV2,1,4,2,0.026333333
T2,2,37,LUZ19,2,3,2,0.024
T2,2,37,LUZ19,2,4,2,0.023666667
T2,2,37,14_1,3,3,2,0.031333333
T2,2,37,14_1,3,4,2,0.028
T2,2,37,PEV2_LUZ19,4,3,2,0.020333333
T2,2,37,PEV2_LUZ19,4,4,2,0.024666667
T2,2,37,PEV2_14-1,5,3,2,0.027
T2,2,37,PEV2_14-1,5,4,2,0.025
T2,2,37,LUZ19_14-1,6,3,2,0.027
T2,2,37,LUZ19_14-1,6,4,2,0.027333333
T2,2,37,3-phage_cocktail,7,3,2,0.02
T2,2,37,3-phage_cocktail,7,4,2,0.026
T2,2,37,No_phage,8,3,2,0.033333333
T2,2,37,No_phage,8,4,2,0.033
T2,2,40,PEV2,1,3,2,0.044333333
T2,2,40,PEV2,1,4,2,0.042
T2,2,40,LUZ19,2,3,2,0.034333333
T2,2,40,LUZ19,2,4,2,0.034333333
T2,2,40,14_1,3,3,2,0.036
T2,2,40,14_1,3,4,2,0.044666667
T2,2,40,PEV2_LUZ19,4,3,2,0.034666667
T2,2,40,PEV2_LUZ19,4,4,2,0.034
T2,2,40,PEV2_14-1,5,3,2,0.044666667
T2,2,40,PEV2_14-1,5,4,2,0.040666667
T2,2,40,LUZ19_14-1,6,3,2,0.035333333
T2,2,40,LUZ19_14-1,6,4,2,0.033666667
T2,2,40,3-phage_cocktail,7,3,2,0.031
T2,2,40,3-phage_cocktail,7,4,2,0.032666667
T2,2,40,No_phage,8,3,2,0.046333333
T2,2,40,No_phage,8,4,2,0.045
T2,2,42,PEV2,1,3,2,0.048666667
T2,2,42,PEV2,1,4,2,0.041
T2,2,42,LUZ19,2,3,2,0.029333333
T2,2,42,LUZ19,2,4,2,0.028666667
T2,2,42,14_1,3,3,2,0.044
T2,2,42,14_1,3,4,2,0.043
T2,2,42,PEV2_LUZ19,4,3,2,0.03
T2,2,42,PEV2_LUZ19,4,4,2,0.029333333
T2,2,42,PEV2_14-1,5,3,2,0.045333333
T2,2,42,PEV2_14-1,5,4,2,0.043
T2,2,42,LUZ19_14-1,6,3,2,0.029333333
T2,2,42,LUZ19_14-1,6,4,2,0.029
T2,2,42,3-phage_cocktail,7,3,2,0.032666667
T2,2,42,3-phage_cocktail,7,4,2,0.028333333
T2,2,42,No_phage,8,3,2,0.04
T2,2,42,No_phage,8,4,2,0.040666667
T3,3,37,PEV2,1,3,2,0.026666667
T3,3,37,PEV2,1,4,2,0.024666667
T3,3,37,LUZ19,2,3,2,0.027
T3,3,37,LUZ19,2,4,2,0.027333333
T3,3,37,14_1,3,3,2,0.052333333
T3,3,37,14_1,3,4,2,0.044333333
T3,3,37,PEV2_LUZ19,4,3,2,0.022
T3,3,37,PEV2_LUZ19,4,4,2,0.022666667
T3,3,37,PEV2_14-1,5,3,2,0.028666667
T3,3,37,PEV2_14-1,5,4,2,0.025666667
T3,3,37,LUZ19_14-1,6,3,2,0.031333333
