Phage ,Treatment,Competitor,Temp,Time,Rep,Batch,DNA_conc,Fold_change_DNAconc_to_zero,Rel_DNA_to_singlephage,,,P,L,14
LUZ19,3P,3P,37,0,0,1,0.05660206,1.032296795,,,T0,1.105614788,0.917839619,0.946284161
LUZ19,3P,3P,37,0,0,1,0.059121842,1.078252064,,,,,,
LUZ19,3P,3P,37,0,0,2,0.048769663,0.889451141,,T2,37,192.5985544,120.9794895,35.65743561
LUZ19,3P,3P,40,0,0,2,0.05660206,1.032296795,,,40,164.1049937,106.3577993,45.44292664
LUZ19,3P,3P,40,0,0,3,0.059121842,1.078252064,,,42,1.357014054,96.52327042,5.31570242
LUZ19,3P,3P,40,0,0,3,0.048769663,0.889451141,,,,,,
LUZ19,3P,3P,42,0,0,1,0.05660206,1.032296795,,,,95.74646978,60.03082495,17.35557572
LUZ19,3P,3P,42,0,0,1,0.059121842,1.078252064,,,,81.49968946,52.71997982,22.24832124
LUZ19,3P,3P,42,0,0,2,0.048769663,0.889451141,,,,0.125699633,47.8027154,2.18470913
LUZ19,3P,3P,37,2,5,1,6.767846005,123.4305914,,,,,,
LUZ19,3P,3P,37,2,6,1,5.443712621,99.28131756,,,,114.8957637,72.03698995,26.69798549
LUZ19,3P,3P,37,2,1,2,6.130928738,111.8146246,,,,,,
LUZ19,3P,3P,37,2,2,2,6.431014517,117.2875276,,,,0.833333333,0.833333333,0.65007061
LUZ19,3P,3P,37,2,3,3,6.03169345,110.0047917,,,,0.709335895,0.731845957,0.833333333
LUZ19,3P,3P,37,2,4,3,4.823668513,87.97307991,,,,0.001094032,0.663585686,0.081830486
LUZ19,3P,3P,40,2,5,1,7.849362476,143.1550677,,,,,,
LUZ19,3P,3P,40,2,6,1,5.257987838,95.89410695,,,,,,
LUZ19,3P,3P,40,2,1,2,5.724355382,104.3996228,,T5,37,355.1090489,239.3485105,4497.711094
LUZ19,3P,3P,40,2,2,2,5.22093224,95.21829453,,,40,357.3997589,239.1147347,2724.415436
LUZ19,3P,3P,40,2,3,3,4.275822701,77.98158003,,,42,1.178153276,181.0953428,40.7452842
LUZ19,3P,3P,40,2,4,3,4.272091244,77.91352648,,,,,,
LUZ19,3P,3P,42,2,5,1,6.945275561,126.6665154,,,,70.80068681,47.68613417,899.3529619
LUZ19,3P,3P,42,2,6,1,4.272579459,77.92243044,,,,71.25882881,47.63937901,544.6938304
LUZ19,3P,3P,42,2,1,2,5.187369458,94.60618337,,,,0.014507698,36.03550064,7.959800008
LUZ19,3P,3P,42,2,2,2,4.276890029,78.00104574,,,,,,
LUZ19,3P,3P,42,2,3,3,5.045106239,92.01161588,,,,,,
LUZ19,3P,3P,42,2,4,3,3.985821303,72.69259383,,,,,,
LUZ19,3P,3P,37,5,5,1,11.81987197,215.5684079,0.90064654,,,,,
LUZ19,3P,3P,37,5,6,1,6.414854568,116.9928058,0.488796883,,,,,
LUZ19,3P,3P,37,5,1,2,7.194528845,131.2123458,0.548206235,,,,,
LUZ19,3P,3P,37,5,2,2,6.423443876,117.1494558,0.489451368,,,,,
LUZ19,3P,3P,37,5,3,3,6.935786078,126.4934481,0.528490643,,,,,
LUZ19,3P,3P,37,5,4,3,6.183482357,112.7730867,0.471166862,,,,,
LUZ19,3P,3P,40,5,5,1,11.91325889,217.2715794,0.908649899,,,,,
LUZ19,3P,3P,40,5,6,1,6.109021407,111.4150831,0.465948212,,,,,
LUZ19,3P,3P,40,5,1,2,7.221065213,131.6963107,0.550766187,,,,,
LUZ19,3P,3P,40,5,2,2,7.198843938,131.2910436,0.549071323,,,,,
LUZ19,3P,3P,40,5,3,3,6.713679696,122.4427174,0.512066801,,,,,
LUZ19,3P,3P,40,5,4,3,5.597096367,102.078699,0.426902588,,,,,
LUZ19,3P,3P,42,5,5,1,13.35920421,243.6424345,1.34538211,,,,,
LUZ19,3P,3P,42,5,6,1,7.547614154,137.6518435,0.760107032,,,,,
LUZ19,3P,3P,42,5,1,2,11.21058346,204.4563286,1.128998269,,,,,
LUZ19,3P,3P,42,5,2,2,8.795037911,160.4021029,0.885732898,,,,,
LUZ19,3P,3P,42,5,3,3,9.579287229,174.7050815,0.964713277,,,,,
LUZ19,3P,3P,42,5,4,3,6.257810901,114.1286755,0.6302132,,,,,
LUZ19,L,No_competitor,37,0,0,1,0.056261083,1.026078127,,,,,,
LUZ19,L,No_competitor,37,0,0,2,0.047571948,0.867607459,,,,,,
LUZ19,L,No_competitor,37,0,0,3,0.04714568,0.859833271,,,,,,
LUZ19,L,No_competitor,40,0,0,1,0.056261083,1.026078127,,,,,,
LUZ19,L,No_competitor,40,0,0,2,0.047571948,0.867607459,,,,,,
LUZ19,L,No_competitor,40,0,0,3,0.04714568,0.859833271,,,,,,
LUZ19,L,No_competitor,42,0,0,1,0.056261083,1.026078127,,,,,,
LUZ19,L,No_competitor,42,0,0,2,0.047571948,0.867607459,,,,,,
LUZ19,L,No_competitor,42,0,0,3,0.04714568,0.859833271,,,,,,
LUZ19,L,No_competitor,37,1,5,1,1.16731411,21.28923603,,,,,,
LUZ19,L,No_competitor,37,1,6,1,1.08638336,19.81323756,,,,,,
LUZ19,L,No_competitor,37,1,1,2,0.529605105,9.658829602,,,,,,
LUZ19,L,No_competitor,37,1,2,2,0.473461733,8.634898265,,,,,,
LUZ19,L,No_competitor,37,1,3,3,0.919536896,16.77032587,,,,,,
LUZ19,L,No_competitor,37,1,4,3,1.190064977,21.70416169,,,,,,
LUZ19,L,No_competitor,40,1,5,1,0.317450915,5.78960487,,,,,,
LUZ19,L,No_competitor,40,1,6,1,0.901532698,16.44196899,,,,,,
LUZ19,L,No_competitor,40,1,1,2,0.389825137,7.10955113,,,,,,
LUZ19,L,No_competitor,40,1,2,2,0.335174672,6.112847126,,,,,,
LUZ19,L,No_competitor,40,1,3,3,0.74956805,13.67046881,,,,,,
LUZ19,L,No_competitor,40,1,4,3,0.811320195,14.7966918,,,,,,
LUZ19,L,No_competitor,42,1,5,1,0.33853254,6.174087236,,,,,,
LUZ19,L,No_competitor,42,1,6,1,0.33189274,6.052991921,,,,,,
LUZ19,L,No_competitor,42,1,1,2,0.258679805,4.717749384,,,,,,
LUZ19,L,No_competitor,42,1,2,2,0.249857144,4.556843497,,,,,,
LUZ19,L,No_competitor,42,1,3,3,0.454516211,8.289373709,,,,,,
LUZ19,L,No_competitor,42,1,4,3,0.414264877,7.555278111,,,,,,
LUZ19,L,No_competitor,37,2,5,1,6.03505524,110.0661033,,,,,,
LUZ19,L,No_competitor,37,2,6,1,7.000059539,127.6656544,,,,,,
LUZ19,L,No_competitor,37,2,1,2,6.71334122,122.4365443,,,,,,
LUZ19,L,No_competitor,37,2,2,2,8.670431846,158.1295629,,,,,,
LUZ19,L,No_competitor,37,2,3,3,6.545971375,119.3840873,,,,,,
LUZ19,L,No_competitor,37,2,4,3,4.835835831,88.19498497,,,,,,
LUZ19,L,No_competitor,40,2,5,1,5.130775418,93.57403284,,,,,,
LUZ19,L,No_competitor,40,2,6,1,7.096791362,129.4298296,,,,,,
LUZ19,L,No_competitor,40,2,1,2,6.258625611,114.143534,,,,,,
LUZ19,L,No_competitor,40,2,2,2,5.081779425,92.68045394,,,,,,
LUZ19,L,No_competitor,40,2,3,3,5.939167586,108.3173239,,,,,,
LUZ19,L,No_competitor,40,2,4,3,5.483207733,100.0016213,,,,,,
LUZ19,L,No_competitor,42,2,5,1,5.835157052,106.420401,,,,,,
LUZ19,L,No_competitor,42,2,6,1,4.668270499,85.13896271,,,,,,
LUZ19,L,No_competitor,42,2,1,2,7.091166166,129.3272384,,,,,,
LUZ19,L,No_competitor,42,2,2,2,4.00574362,73.05593298,,,,,,
LUZ19,L,No_competitor,42,2,3,3,4.868283535,88.78675956,,,,,,
LUZ19,L,No_competitor,42,2,4,3,5.286292843,96.41032784,,,,,,
LUZ19,L,No_competitor,37,3,5,1,8.17049708,149.0118549,,,,,,
LUZ19,L,No_competitor,37,3,6,1,8.854105887,161.4793725,,,,,,
LUZ19,L,No_competitor,37,3,1,2,6.971672236,127.1479326,,,,,,
LUZ19,L,No_competitor,37,3,2,2,8.163149224,148.8778462,,,,,,
LUZ19,L,No_competitor,37,3,3,3,9.152055568,166.9133179,,,,,,
LUZ19,L,No_competitor,37,3,4,3,6.704127398,122.2685045,,,,,,
LUZ19,L,No_competitor,40,3,5,1,7.024734906,128.1156787,,,,,,
LUZ19,L,No_competitor,40,3,6,1,9.481161022,172.9154758,,,,,,
LUZ19,L,No_competitor,40,3,1,2,10.27430201,187.380619,,,,,,
LUZ19,L,No_competitor,40,3,2,2,7.058669992,128.7345798,,,,,,
LUZ19,L,No_competitor,40,3,3,3,6.584418206,120.0852727,,,,,,
LUZ19,L,No_competitor,40,3,4,3,6.935534494,126.4888598,,,,,,
LUZ19,L,No_competitor,42,3,5,1,6.931576043,126.4166664,,,,,,
LUZ19,L,No_competitor,42,3,6,1,6.90697393,125.9679781,,,,,,
LUZ19,L,No_competitor,42,3,1,2,13.10257481,238.9620799,,,,,,
LUZ19,L,No_competitor,42,3,2,2,6.035037854,110.0657862,,,,,,
LUZ19,L,No_competitor,42,3,3,3,5.954949988,108.6051601,,,,,,
LUZ19,L,No_competitor,42,3,4,3,6.341547206,115.6558411,,,,,,
LUZ19,L,No_competitor,37,4,5,1,9.656422741,176.1118632,,,,,,
LUZ19,L,No_competitor,37,4,6,1,12.61981401,230.1575872,,,,,,
LUZ19,L,No_competitor,37,4,1,2,9.535303867,173.902922,,,,,,
LUZ19,L,No_competitor,37,4,2,2,11.85493767,216.2079289,,,,,,
LUZ19,L,No_competitor,37,4,3,3,10.3729723,189.1801476,,,,,,
LUZ19,L,No_competitor,37,4,4,3,8.831061159,161.0590875,,,,,,
LUZ19,L,No_competitor,40,4,5,1,7.75363678,141.409242,,,,,,
LUZ19,L,No_competitor,40,4,6,1,13.52559887,246.6771062,,,,,,
LUZ19,L,No_competitor,40,4,1,2,12.61145206,230.0050837,,,,,,
LUZ19,L,No_competitor,40,4,2,2,10.74826949,196.024741,,,,,,
LUZ19,L,No_competitor,40,4,3,3,10.02138884,182.7680403,,,,,,
LUZ19,L,No_competitor,40,4,4,3,10.70617822,195.257089,,,,,,
LUZ19,L,No_competitor,42,4,5,1,8.195750989,149.4724305,,,,,,
LUZ19,L,No_competitor,42,4,6,1,7.864624426,143.433412,,,,,,
LUZ19,L,No_competitor,42,4,1,2,15.27345878,278.5542179,,,,,,
LUZ19,L,No_competitor,42,4,2,2,10.0759291,183.7627344,,,,,,
LUZ19,L,No_competitor,42,4,3,3,6.859746029,125.1066453,,,,,,
LUZ19,L,No_competitor,42,4,4,3,8.881964992,161.9874612,,,,,,
LUZ19,L,No_competitor,37,5,5,1,12.69054942,231.4476451,0.966990121,,,,,
LUZ19,L,No_competitor,37,5,6,1,15.31125037,279.2434531,1.166681391,,,,,
LUZ19,L,No_competitor,37,5,1,2,13.78968858,251.4935204,1.050741949,,,,,
LUZ19,L,No_competitor,37,5,2,2,11.53251876,210.3277188,0.878750899,,,,,
LUZ19,L,No_competitor,37,5,3,3,14.48912033,264.2496136,1.104037009,,,,,
LUZ19,L,No_competitor,37,5,4,3,10.92945207,199.3291118,0.832798631,,,,,
LUZ19,L,No_competitor,40,5,5,1,11.39539925,207.8269612,0.869151629,,,,,
LUZ19,L,No_competitor,40,5,6,1,13.7977599,251.6407235,1.052384847,,,,,
LUZ19,L,No_competitor,40,5,1,2,16.87814992,307.8202467,1.287332824,,,,,
LUZ19,L,No_competitor,40,5,2,2,13.75648263,250.887917,1.049236541,,,,,
LUZ19,L,No_competitor,40,5,3,3,11.48596795,209.4787346,0.876059499,,,,,
LUZ19,L,No_competitor,40,5,4,3,11.35191065,207.033825,0.86583466,,,,,
LUZ19,L,No_competitor,42,5,5,1,9.972644981,181.8790598,1.004327648,,,,,
LUZ19,L,No_competitor,42,5,6,1,9.207831666,167.9305509,0.927304636,,,,,
LUZ19,L,No_competitor,42,5,1,2,15.60373235,284.5776797,1.571424617,,,,,
LUZ19,L,No_competitor,42,5,2,2,8.479050847,154.6391954,0.853910393,,,,,
LUZ19,L,No_competitor,42,5,3,3,7.338323853,133.8348498,0.739029771,,,,,
LUZ19,L,No_competitor,42,5,4,3,8.976453395,163.7107214,0.904002935,,,,,
LUZ19,L14,phage14,37,0,0,1,0.059637404,1.087654778,,,,,,
LUZ19,L14,phage14,37,0,0,1,0.068864127,1.255929866,,,,,,
LUZ19,L14,phage14,37,0,0,2,0.051188599,0.933567201,,,,,,
LUZ19,L14,phage14,40,0,0,2,0.059637404,1.087654778,,,,,,
LUZ19,L14,phage14,40,0,0,3,0.068864127,1.255929866,,,,,,
LUZ19,L14,phage14,40,0,0,3,0.051188599,0.933567201,,,,,,
LUZ19,L14,phage14,42,0,0,1,0.059637404,1.087654778,,,,,,
LUZ19,L14,phage14,42,0,0,1,0.068864127,1.255929866,,,,,,
LUZ19,L14,phage14,42,0,0,2,0.051188599,0.933567201,,,,,,
LUZ19,L14,phage14,37,2,5,1,6.947737313,126.7114123,,,,,,
LUZ19,L14,phage14,37,2,6,1,6.83925168,124.7328735,,,,,,
LUZ19,L14,phage14,37,2,1,2,6.171847814,112.5608983,,,,,,
LUZ19,L14,phage14,37,2,2,2,5.385365212,98.21718944,,,,,,
LUZ19,L14,phage14,37,2,3,3,6.001482297,109.4538068,,,,,,
LUZ19,L14,phage14,37,2,4,3,6.272920009,114.4042323,,,,,,
LUZ19,L14,phage14,40,2,5,1,6.260638589,114.1802463,,,,,,
LUZ19,L14,phage14,40,2,6,1,5.988398,109.2151781,,,,,,
LUZ19,L14,phage14,40,2,1,2,8.593890889,156.7336246,,,,,,
LUZ19,L14,phage14,40,2,2,2,6.170135027,112.5296608,,,,,,
LUZ19,L14,phage14,40,2,3,3,5.285228782,96.39092171,,,,,,
LUZ19,L14,phage14,40,2,4,3,4.627374481,84.3931095,,,,,,
LUZ19,L14,phage14,42,2,5,1,4.899710333,89.35991508,,,,,,
LUZ19,L14,phage14,42,2,6,1,4.969569346,90.63398947,,,,,,
LUZ19,L14,phage14,42,2,1,2,3.876294007,70.69505741,,,,,,
LUZ19,L14,phage14,42,2,2,2,3.999795416,72.94745085,,,,,,
LUZ19,L14,phage14,42,2,3,3,5.241694784,95.59695756,,,,,,
LUZ19,L14,phage14,42,2,4,3,5.220079785,95.20274763,,,,,,
LUZ19,L14,phage14,37,5,5,1,11.58473673,211.2800594,0.882729786,,,,,
LUZ19,L14,phage14,37,5,6,1,12.64931517,230.6956233,0.963848168,,,,,
LUZ19,L14,phage14,37,5,1,2,8.204141695,149.6254585,0.625136368,,,,,
LUZ19,L14,phage14,37,5,2,2,9.440978514,172.1826355,0.719380435,,,,,
LUZ19,L14,phage14,37,5,3,3,10.87343869,198.3075512,0.828530543,,,,,
LUZ19,L14,phage14,37,5,4,3,9.337384024,170.2933004,0.711486777,,,,,
LUZ19,L14,phage14,40,5,5,1,10.3937308,189.5587368,0.79275222,,,,,
LUZ19,L14,phage14,40,5,6,1,10.2869383,187.6110771,0.784606927,,,,,
LUZ19,L14,phage14,40,5,1,2,12.56157179,229.0953775,0.958098119,,,,,
LUZ19,L14,phage14,40,5,2,2,14.35713897,261.8425645,1.095049893,,,,,
LUZ19,L14,phage14,40,5,3,3,9.042123056,164.9083912,0.689662188,,,,,
LUZ19,L14,phage14,40,5,4,3,7.426149629,135.4365983,0.566408417,,,,,
LUZ19,L14,phage14,42,5,5,1,8.414266767,153.4576766,0.847386102,,,,,
LUZ19,L14,phage14,42,5,6,1,9.52769084,173.7640772,0.959517094,,,,,
LUZ19,L14,phage14,42,5,1,2,9.758559998,177.9746216,0.982767524,,,,,
LUZ19,L14,phage14,42,5,2,2,8.066630376,147.1175552,0.812376248,,,,,
LUZ19,L14,phage14,42,5,3,3,9.802711803,178.7798532,0.987213975,,,,,
LUZ19,L14,phage14,42,5,4,3,7.396458489,134.8950974,0.744884409,,,,,
LUZ19,PL,PEV2,37,0,0,2,0.057856475,1.05517456,,,,,,
LUZ19,PL,PEV2,37,0,0,3,0.057264966,1.044386739,,,,,,
LUZ19,PL,PEV2,37,0,0,3,0.043996432,0.80239793,,,,,,
LUZ19,PL,PEV2,40,0,0,1,0.057856475,1.05517456,,,,,,
LUZ19,PL,PEV2,40,0,0,1,0.057264966,1.044386739,,,,,,
LUZ19,PL,PEV2,40,0,0,2,0.043996432,0.80239793,,,,,,
LUZ19,PL,PEV2,42,0,0,2,0.057856475,1.05517456,,,,,,
LUZ19,PL,PEV2,42,0,0,3,0.057264966,1.044386739,,,,,,
LUZ19,PL,PEV2,42,0,0,3,0.043996432,0.80239793,,,,,,
LUZ19,PL,PEV2,37,2,5,1,5.405154504,98.57810251,,,,,,
LUZ19,PL,PEV2,37,2,6,1,5.219494771,95.19207826,,,,,,
LUZ19,PL,PEV2,37,2,1,2,7.447803174,135.8315112,,,,,,
LUZ19,PL,PEV2,37,2,2,2,2.060629173,37.58133346,,,,,,
LUZ19,PL,PEV2,37,2,3,3,5.560936551,101.4192236,,,,,,
LUZ19,PL,PEV2,37,2,4,3,5.807878352,105.9228977,,,,,,
LUZ19,PL,PEV2,40,2,5,1,6.90866179,125.9987609,,,,,,
LUZ19,PL,PEV2,40,2,6,1,6.758696657,123.2637275,,,,,,
LUZ19,PL,PEV2,40,2,1,2,5.07556301,92.56708024,,,,,,
LUZ19,PL,PEV2,40,2,2,2,5.96742419,108.8326621,,,,,,
LUZ19,PL,PEV2,40,2,3,3,4.312453562,78.64964618,,,,,,
LUZ19,PL,PEV2,40,2,4,3,4.423254962,80.67041945,,,,,,
LUZ19,PL,PEV2,42,2,5,1,4.653186623,84.86386607,,,,,,
LUZ19,PL,PEV2,42,2,6,1,4.875154443,88.91206978,,,,,,
LUZ19,PL,PEV2,42,2,1,2,6.561302294,119.6636895,,,,,,
LUZ19,PL,PEV2,42,2,2,2,6.373002486,116.2295161,,,,,,
LUZ19,PL,PEV2,42,2,3,3,5.371514516,97.96458328,,,,,,
LUZ19,PL,PEV2,42,2,4,3,5.035438534,91.83529825,,,,,,
LUZ19,PL,PEV2,37,5,5,1,6.629398708,120.9056179,0.505144643,,,,,
LUZ19,PL,PEV2,37,5,6,1,6.654712393,121.3672838,0.507073487,,,,,
LUZ19,PL,PEV2,37,5,1,2,8.863064863,161.6427645,0.675344769,,,,,
LUZ19,PL,PEV2,37,5,2,2,8.752564313,159.6274781,0.666924886,,,,,
LUZ19,PL,PEV2,37,5,3,3,6.972300782,127.1593958,0.531272978,,,,,
LUZ19,PL,PEV2,37,5,4,3,6.538190949,119.2421895,0.498194826,,,,,
LUZ19,PL,PEV2,40,5,5,1,7.383661346,134.6617057,0.563167744,,,,,
LUZ19,PL,PEV2,40,5,6,1,11.22045783,204.6364154,0.85580847,,,,,
LUZ19,PL,PEV2,40,5,1,2,7.778382069,141.8605415,0.593273943,,,,,
LUZ19,PL,PEV2,40,5,2,2,8.756286709,159.6953664,0.667860835,,,,,
LUZ19,PL,PEV2,40,5,3,3,6.781448094,123.6786636,0.517235643,,,,,
LUZ19,PL,PEV2,40,5,4,3,6.767038251,123.4158598,0.516136573,,,,,
LUZ19,PL,PEV2,42,5,5,1,7.796932619,142.1988627,0.785215459,,,,,
LUZ19,PL,PEV2,42,5,6,1,7.382575407,134.6419006,0.743486268,,,,,
LUZ19,PL,PEV2,42,5,1,2,15.71169925,286.5467579,1.582297775,,,,,
